source_image_basename,target_image_basename,composite_image_path,predicted_class,likelihood
[infection]0006.jpg,[infection]0006.jpg,output/composite_images/source_[infection]0006_on_target_[infection]0006.jpg,infection,0.95
[infection]0006.jpg,[bullous]0002.jpg,output/composite_images/source_[infection]0006_on_target_[bullous]0002.jpg,infection,0.93
[infection]0006.jpg,[immun]0005.jpg,output/composite_images/source_[infection]0006_on_target_[immun]0005.jpg,scar,0.43
[infection]0006.jpg,[apac]0001.jpg,output/composite_images/source_[infection]0006_on_target_[apac]0001.jpg,infection,0.91
[infection]0006.jpg,[tumor]0009.jpg,output/composite_images/source_[infection]0006_on_target_[tumor]0009.jpg,scar,0.94
[infection]0006.jpg,[normal]0007.jpg,output/composite_images/source_[infection]0006_on_target_[normal]0007.jpg,scar,0.89
[infection]0006.jpg,[scar]0008.jpg,output/composite_images/source_[infection]0006_on_target_[scar]0008.jpg,scar,0.96
[infection]0006.jpg,[cat]0003.jpg,output/composite_images/source_[infection]0006_on_target_[cat]0003.jpg,scar,0.65
[infection]0006.jpg,[deposit]0004.jpg,output/composite_images/source_[infection]0006_on_target_[deposit]0004.jpg,scar,0.88
[bullous]0002.jpg,[infection]0006.jpg,output/composite_images/source_[bullous]0002_on_target_[infection]0006.jpg,bullous,0.91
[bullous]0002.jpg,[bullous]0002.jpg,output/composite_images/source_[bullous]0002_on_target_[bullous]0002.jpg,bullous,0.91
[bullous]0002.jpg,[immun]0005.jpg,output/composite_images/source_[bullous]0002_on_target_[immun]0005.jpg,bullous,0.93
[bullous]0002.jpg,[apac]0001.jpg,output/composite_images/source_[bullous]0002_on_target_[apac]0001.jpg,bullous,0.95
[bullous]0002.jpg,[tumor]0009.jpg,output/composite_images/source_[bullous]0002_on_target_[tumor]0009.jpg,bullous,0.95
[bullous]0002.jpg,[normal]0007.jpg,output/composite_images/source_[bullous]0002_on_target_[normal]0007.jpg,bullous,0.91
[bullous]0002.jpg,[scar]0008.jpg,output/composite_images/source_[bullous]0002_on_target_[scar]0008.jpg,bullous,0.95
[bullous]0002.jpg,[cat]0003.jpg,output/composite_images/source_[bullous]0002_on_target_[cat]0003.jpg,bullous,0.92
[bullous]0002.jpg,[deposit]0004.jpg,output/composite_images/source_[bullous]0002_on_target_[deposit]0004.jpg,bullous,0.91
[immun]0005.jpg,[infection]0006.jpg,output/composite_images/source_[immun]0005_on_target_[infection]0006.jpg,non-infection,0.93
[immun]0005.jpg,[bullous]0002.jpg,output/composite_images/source_[immun]0005_on_target_[bullous]0002.jpg,non-infection,0.92
[immun]0005.jpg,[immun]0005.jpg,output/composite_images/source_[immun]0005_on_target_[immun]0005.jpg,non-infection,0.94
[immun]0005.jpg,[apac]0001.jpg,output/composite_images/source_[immun]0005_on_target_[apac]0001.jpg,non-infection,0.9
[immun]0005.jpg,[tumor]0009.jpg,output/composite_images/source_[immun]0005_on_target_[tumor]0009.jpg,non-infection,0.84
